Nom,Synonyme(s),Numero CAS,Numero EINECS,Numero Index,ATP,TMP,Colorant(Numero CI),Cancerigene (Categorie),Cancerigene (Mention de danger),Mutagene (Categorie),Mutagene (Mention de danger),Toxique repro. (Categorie),Toxique repro. (Mention de danger),Note(s),Commentaire(s)
"(((3,5-bis(1,1-diméthyléthyl)-4-hydroxyphényl)méthyl)thio)acétate de 2-éthylhexyle",,80387-97-9,,607-203-00-9,,,,,,,,R1B,H360D,,
((m-tolyloxy)méthyl)oxiranne,,2186-25-6,,603-056-00-X,,,,,,M2,,,,,
((p-tolyloxy)méthyl)oxiranne,,2186-24-5,,603-056-00-X,,,,,,M2,,,,,
(1E)-N-[(6-chloropyridine-3-yl)méthyl]-N'-cyano-N-méthyléthanimidamide,(E)-N1-[(6-chloro-3-pyridyl)méthyl]-N2-cyano-N1-méthylacétamidine,160430-64-8,,608-032-00-2,18ème,,,,,,,R2,H361d,,
"(1R-trans)-2,2-diméthyl-3-(2- méthylprop-1-ényl)cyclopropanecarboxylate de (1,3,4,5,6,7- hexahydro-1,3-dioxo-2H-isoindol-2-yl)méthyle",,1166-46-7,,607-728-00-3,12ème,,,C2,,,,,,,
(2-éthylhexanoato-O)(isodécanoato-O)nickel,,84852-39-1,,028-054-00-0,1ère,,,C1A,H350i,M2,,R1B,H360D,,
(2-éthylhexanoato-O)(isononanoato-O)nickel,,85508-45-8,,028-054-00-0,1ère,,,C1A,H350i,M2,,R1B,H360D,,
(2-éthylhexanoato-O)(néodécanoato-O)nickel,,85135-77-9,,028-054-00-0,1ère,,,C1A,H350i,M2,,R1B,H360D,,
(3-chlorophényl)-(4-méthoxy-3-nitrophényl)méthanone,,66938-41-8,,606-061-00-5,,,,,,M2,,,,,
(4-éthoxyphényl)(3-(4-fluoro-3-phénoxyphényl)propyl)diméthylsilane,,105024-66-6,,014-036-00-X,1ère,,,,,,,R1B,H360F,,
"(5-chloro-2-méthoxy-4-méthyl-3-pyridyl)(4,5,6-triméthoxy-o-tolyl)méthanone",pyriofénone,688046-61-9,,606-152-00-X,17ème,,,C2,,,,,,,
(carboxylatométhyl)iminobis(éthylènenitrilo)tétraacétate de pentasodium,,140-01-2,,607-736-00-7,18ème,,,,,,,R1B,H360D,,
(E)-3-[1-[4-[2-(diméthylamino)éthoxy]phényl]-2-phénylbut-1-ényl]phénol,,82413-20-5,,604-073-00-5,1ère,,,C2,,,,R1B,H360F,,
(E)-crotonaldéhyde,(E)-2-buténal,123-73-9,,605-009-00-9,,,,,,M2,,,,,
(isodécanoato-O)(isononanoato-O)nickel,,84852-36-8,,028-054-00-0,1ère,,,C1A,H350i,M2,,R1B,H360D,,
(isodécanoato-O)(isooctanoato-O)nickel,,85166-19-4,,028-054-00-0,1ère,,,C1A,H350i,M2,,R1B,H360D,,
(isononanoato-O)(isooctanoato-O)nickel,,85508-46-9,,028-054-00-0,1ère,,,C1A,H350i,M2,,R1B,H360D,,
(isononanoato-O)(néodécanoato-O)nickel,,85551-28-6,,028-054-00-0,1ère,,,C1A,H350i,M2,,R1B,H360D,,
(isooctanoato-O)(néodécanoato-O)nickel,,84852-35-7,,028-054-00-0,1ère,,,C1A,H350i,M2,,R1B,H360D,,
"(R)-1-chloro-2,3-époxypropane",,51594-55-9,,603-166-00-8,,,,C1B,,,,,,,
"(R)-2,3-époxypropan-1-ol",,57044-25-4,,603-143-00-2,,,,C1B,,M2,,R1B,H360F,,
(R)-4-hydroxy-3-(3-oxo-1-phénylbutyl)-2-benzopyrone,,5543-58-8,,607-056-00-0,,,,,,,,R1A,H360D,,
(R)-5-bromo-3-(1-méthyl-2-pyrrolidinylméthyl)-1H-indole,,143322-57-0,,613-201-00-9,,,,,,,,R2,H361f,,
"(R,S)-2-amino-3,3-diméthylbutanamide",,144177-62-8,,612-279-00-1,1ère,,,,,,,R2,H361f,,
(S)-4-hydroxy-3-(3-oxo-1-phénylbutyl)-2-benzopyrone,,5543-57-7,,607-056-00-0,,,,,,,,R1A,H360D,,
[µ-[carbonato(2-)-O:O']]dihydroxytrinickel,,65405-96-1,,028-010-00-0,1ère,,,C1A,H350i,M2,,R1B,H360D,,
"[4'-(8-acétylamino-3,6-disulfonato-2-naphtylazo)-4''-(6-benzoylamino-3-sulfonato-2-naphtylazo)biphényl-1,3',3'',1'''-tétraolato-O,O',O'',O''']cuivre (II) de trisodium",,164058-22-4,,611-063-00-4,,,,C1B,,,,,,,
"[5-[[4'-[[2,6-dihydroxy-3-[(2-hydroxy-5-sulfophényl)azo]phényl]azo][1,1'-biphényl]-4-yl]azo]salicylato(4-)]cuprate(2-) de disodium",,16071-86-6,240-221-1,611-024-00-1,,,30145,C1B,,,,,,,Appartient à la famille des colorants azoïques dérivant de la benzidine
