Substance Evaluation - CoRAP list
Note: Group entries are split in different rows.
Export date: 09-mai-2024 09:03:23
Last updated 02-mai-2024. Database contains 402 unique substances/entries.

"Substance Identifier"	""	
"Evaluating Member State"	""	
"Status"	""	
"Initial grounds for concern (operator is and)"	"true"	
"Initial grounds for concerns"



"Substance name"	"Description"	"EC / List no"	"CAS no"	"Co-Evaluating Member State"	"Year"	"Evaluating Member State"	"Initial grounds for concern"	"Status"	"Latest update"	"Decisions"	"Conclusion document"	"Justification documents"	"CoRAP publication date"	"MS address"	"Member State (MS) contact details"	"MS remarks"	"Further information"	"Remarks"	"DISLIST_CORAP_diss_concern"	"DISLIST_CORAP_relevance"	"First published"	
"1,1,1,2,3,3-hexafluoro-2-[1,1,2,3,3,3-hexafluoro-2-[1,1,2,3,3,3-hexafluoro-2-[1,1,2,3,3,3-hexafluoro-2-(1,1,2,2,3,3,3-heptafluoropropoxy)propoxy]propoxy]propoxy]-3-(1,2,2,2-tetrafluoroethoxy)propane"	""	"-"	"37486-69-4"	""	"2017"	"Germany"	"Suspected PBT/vPvB""Exposure of environment"	"Concluded"	"12-avr.-2021"	""	"https://echa.europa.eu/documents/10162/435b1954-6bf6-b622-90c0-48621922126d"	"https://echa.europa.eu/documents/10162/1309acb7-105a-f082-c157-d59d30069da9"	"17-mars-2015"	"Friedrich-Henkel-Weg 1-25, 44149 Dortmund"	"Federal Institute for Occupational Safety and Health, Division 5 &#34;Federal Office for Chemicals&#34;"	""	""	""	"Suspected PBT/vPvB""Exposure of environment"	""	"31-janv.-2018"	
"1-(5,6,7,8-tetrahydro-3,5,5,6,8,8-hexamethyl-2-naphthyl)ethan-1-one"	"EC No. 216-133-4 and EC No. 244-240-6"	"-"	"-"	""	"2020"	"Germany"	"Potential endocrine disruptor""High (aggregated) tonnage"	"Information requested"	"12-janv.-2022"	"https://echa.europa.eu/documents/10162/70f61c21-1052-efba-202c-0961dad86dbf"	""	"https://echa.europa.eu/documents/10162/247e214a-93d3-ca61-7ef8-6efc9a3b6e80"	"22-mars-2016"	"Friedrich-Henkel-Weg 1-25, 44149 Dortmund"	"Federal Institute for Occupational Safety and Health, Division 5 &#34;Federal Office for Chemicals&#34;"	""	""	""	"Potential endocrine disruptor""High (aggregated) tonnage"	""	"22-mars-2016"	
"1-(5,6,7,8-tetrahydro-3,5,5,6,8,8-hexamethyl-2-naphthyl)ethan-1-one"	""	"244-240-6"	"21145-77-7"	""	"2020"	"Germany"	"Potential endocrine disruptor""High (aggregated) tonnage"	"Information requested"	"12-janv.-2022"	"https://echa.europa.eu/documents/10162/70f61c21-1052-efba-202c-0961dad86dbf"	""	"https://echa.europa.eu/documents/10162/247e214a-93d3-ca61-7ef8-6efc9a3b6e80"	"22-mars-2016"	"Friedrich-Henkel-Weg 1-25, 44149 Dortmund"	"Federal Institute for Occupational Safety and Health, Division 5 &#34;Federal Office for Chemicals&#34;"	""	""	""	"Potential endocrine disruptor""High (aggregated) tonnage"	""	"22-mars-2016"	
"1-(5,6,7,8-tetrahydro-3,5,5,6,8,8-hexamethyl-2-naphthyl)ethan-1-one"	""	"216-133-4"	"1506-02-1"	""	"2020"	"Germany"	"Potential endocrine disruptor""High (aggregated) tonnage"	"Information requested"	"12-janv.-2022"	"https://echa.europa.eu/documents/10162/70f61c21-1052-efba-202c-0961dad86dbf"	""	"https://echa.europa.eu/documents/10162/247e214a-93d3-ca61-7ef8-6efc9a3b6e80"	"22-mars-2016"	"Friedrich-Henkel-Weg 1-25, 44149 Dortmund"	"Federal Institute for Occupational Safety and Health, Division 5 &#34;Federal Office for Chemicals&#34;"	""	""	""	"Potential endocrine disruptor""High (aggregated) tonnage"	""	"22-mars-2016"	
"Amphoteric Fluorinated Surfactant"	""	"-"	"-"	""	"2018"	"Belgium"	"Suspected PBT/vPvB""Exposure of environment""Wide dispersive use"	"Concluded"	"01-août-2023"	""	"https://echa.europa.eu/documents/10162/3bbb6961-86ab-f9a7-fba0-6868aa37701a"	"https://echa.europa.eu/documents/10162/2592982d-b74a-1341-5797-eeca41f2fbe6"	"20-mars-2018"	""	"Federal Public Service Health, Food Chain Safety and Environment"	""	""	""	"Suspected PBT/vPvB""Exposure of environment""Wide dispersive use"	""	"20-mars-2018"	
"Multi-Wall Carbon Nanotubes (MWCNT), synthetic graphite in tubular shape"	""	"-"	"-"	""	"2019"	"Germany"	"Suspected Carcinogenic""Other hazard based concern""Consumer use""Cumulative exposure""Exposure of environment""Wide dispersive use"	"Concluded"	"31-août-2020"	""	"https://echa.europa.eu/documents/10162/801e9ee1-1347-0072-44a5-b044510e79b5"	"https://echa.europa.eu/documents/10162/f81d2325-504c-ec9c-6410-2a544abdf82f""https://echa.europa.eu/documents/10162/d22c223d-730d-fb64-7535-b5dc4b6e337d""https://echa.europa.eu/documents/10162/d8671f9b-4cd6-7477-5eae-fae31c4ec203"	"17-mars-2015"	"Friedrich-Henkel-Weg 1-25, 44149 Dortmund"	"Federal Institute for Occupational Safety and Health, Division 5 &#34;Federal Office for Chemicals&#34;"	""	""	"This entry covers the following EC numbers: 701-160-0 and 936-414-1"	"Suspected Carcinogenic""Other hazard based concern""Consumer use""Cumulative exposure""Exposure of environment""Wide dispersive use"	""	"14-janv.-2016"	
"Tangled Multi-Walled Carbon Nanotubes"	""	"701-160-0"	"-"	""	"2019"	"Germany"	"Suspected Carcinogenic""Other hazard based concern""Consumer use""Cumulative exposure""Exposure of environment""Wide dispersive use"	"Concluded"	"31-août-2020"	""	"https://echa.europa.eu/documents/10162/801e9ee1-1347-0072-44a5-b044510e79b5"	"https://echa.europa.eu/documents/10162/f81d2325-504c-ec9c-6410-2a544abdf82f""https://echa.europa.eu/documents/10162/d22c223d-730d-fb64-7535-b5dc4b6e337d""https://echa.europa.eu/documents/10162/d8671f9b-4cd6-7477-5eae-fae31c4ec203"	"17-mars-2015"	"Friedrich-Henkel-Weg 1-25, 44149 Dortmund"	"Federal Institute for Occupational Safety and Health, Division 5 &#34;Federal Office for Chemicals&#34;"	""	""	"This entry covers the following EC numbers: 701-160-0 and 936-414-1"	"Suspected Carcinogenic""Other hazard based concern""Consumer use""Cumulative exposure""Exposure of environment""Wide dispersive use"	""	"14-janv.-2016"	
"Multi-Walled Carbon Nanotubes (MWCNT), synthetic graphite in tubular shape"	""	"936-414-1"	"-"	""	"2019"	"Germany"	"Suspected Carcinogenic""Other hazard based concern""Consumer use""Cumulative exposure""Exposure of environment""Wide dispersive use"	"Concluded"	"31-août-2020"	""	"https://echa.europa.eu/documents/10162/801e9ee1-1347-0072-44a5-b044510e79b5"	"https://echa.europa.eu/documents/10162/f81d2325-504c-ec9c-6410-2a544abdf82f""https://echa.europa.eu/documents/10162/d22c223d-730d-fb64-7535-b5dc4b6e337d""https://echa.europa.eu/documents/10162/d8671f9b-4cd6-7477-5eae-fae31c4ec203"	"17-mars-2015"	"Friedrich-Henkel-Weg 1-25, 44149 Dortmund"	"Federal Institute for Occupational Safety and Health, Division 5 &#34;Federal Office for Chemicals&#34;"	""	""	"This entry covers the following EC numbers: 701-160-0 and 936-414-1"	"Suspected Carcinogenic""Other hazard based concern""Consumer use""Cumulative exposure""Exposure of environment""Wide dispersive use"	""	"14-janv.-2016"	
"Reaction mass of (1S,1'R)-2-[1-(3',3'-dimethyl-1'-cyclohexyl)ethoxy]-2-methylpropyl propanoate, (1R,1'R)-2-[1-(3',3'-dimethyl-1'-cyclohexyl)ethoxy]-2-methylpropyl propanoate and 2-methyl-2-{[(1R*,2R*)-2,6,6-trimethylcycloheptyl]oxy}propyl propanoate, and 2-(1-(3',3'-dimethyl-1'-cyclohexyl)ethoxy)-2-methyl propyl propanoate"	"EC No. 415-490-5 and 604-250-7"	"-"	"-"	""	"2016"	"Germany"	"Suspected PBT/vPvB""Exposure of environment""Wide dispersive use"	"Concluded"	"25-mars-2020"	""	"https://echa.europa.eu/documents/10162/1ddccf59-174d-a229-6477-a83aa1ea48f9"	"https://echa.europa.eu/documents/10162/050181c1-751f-c325-6592-643fd2266a4a"	"17-mars-2015"	"Friedrich-Henkel-Weg 1-25, 44149 Dortmund"	"Federal Institute for Occupational Safety and Health, Division 5 &#34;Federal Office for Chemicals&#34;"	""	""	""	"Suspected PBT/vPvB""Exposure of environment""Wide dispersive use"	""	"19-janv.-2016"	
"reaction mass of (1S,1'R)-2-[1-(3',3'-dimethyl-1'-cyclohexyl)ethoxy]-2-methylpropyl propanoate, (1R,1'R)-2-[1-(3',3'-dimethyl-1'-cyclohexyl)ethoxy]-2-methylpropyl propanoate and 2-methyl-2-{[(1R,2R)-2,6,6-trimethylcycloheptyl]oxy}propyl propanoate"	""	"604-250-7"	"141773-73-1"	""	"2016"	"Germany"	"Suspected PBT/vPvB""Exposure of environment""Wide dispersive use"	"Concluded"	"25-mars-2020"	""	"https://echa.europa.eu/documents/10162/1ddccf59-174d-a229-6477-a83aa1ea48f9"	"https://echa.europa.eu/documents/10162/050181c1-751f-c325-6592-643fd2266a4a"	"17-mars-2015"	"Friedrich-Henkel-Weg 1-25, 44149 Dortmund"	"Federal Institute for Occupational Safety and Health, Division 5 &#34;Federal Office for Chemicals&#34;"	""	""	""	"Suspected PBT/vPvB""Exposure of environment""Wide dispersive use"	""	"19-janv.-2016"	
