Name and abbreviation,CAS no.,EC / List no.,Health Effects,Environmental Effects,Status,Regulatory Field
"1-(5,6,7,8-tetrahydro-3,5,5,6,8,8-hexamethyl-2-naphthyl)ethan-1-one","21145-77-7, 1506-02-1","244-240-6, 216-133-4",,Yes,CoRAP list year: 2020,REACH
"1,1'-[ethane-1,2-diylbisoxy]bis[2,4,6-tribromobenzene]",37853-59-1,253-692-3,,Yes,,REACH
"1,3-dihydro-4(or 5)-methyl-2H-benzimidazole-2-thione",53988-10-6,258-904-8,,Yes,CoRAP list year: 2018,REACH
"1,3-dihydro-4(or 5)-methyl-2H-benzimidazole-2-thione, zinc salt",61617-00-3,262-872-0,,Yes,CoRAP list year: 2018,REACH
"1,3,4,6,7,8- hexahydro-4,6,6,7,8,8- hexamethylindeno[5 ,6-c]pyran (HHCB)",1222-05-5,214-946-9,Yes,Yes,CoRAP list year: 2022,REACH
2-[4-[2-[4-(2-hydroxyethoxy)phenyl]propan-2-yl]phenoxy]ethanol,32492-61-8,500-082-2,,Yes,CoRAP list year: 2025,REACH
2-Ethylhexyl trans-4-methoxycinnamate (OMC),"5466-77-3, 83834-59-7","226-775-7, 629-661-9",Yes,Yes,"CoRAP list year: 2016
Commission EDC list year*: 2019","REACH, Cosmetics"
"2-Propenoic acid, methyl ester, reaction products with mixed O,O-bis(branched and linear pentyl and iso-Bu) phosphorodithioates",93925-38-3,300-340-2,Yes,Yes,CoRAP list year: 2023,REACH
2-tert-butyl-4-methoxyphenol,25013-16-5,246-563-8,Yes,,Commission EDC list year*: 2019,Cosmetics
"2,2-dibromo-2-cyanoacetamide (DBNPA)",10222-01-2,233-539-7,Yes,Yes,,Biocides
"2,2,6,6-tetrabromo-4,4-isopropylidenediphenol",79-94-7,201-236-9,Yes,Yes,CoRAP list year: 2015,REACH
"2,2′,6,6′-Tetra-tert-butyl-4,4′- methylenediphenol",118-82-1,204-279-1,Yes,,CoRAP list year: 2014,REACH
"2,4-di-tert-butylphenol",96-76-4,202-532-0,Yes,Yes,CoRAP list year: 2017,REACH
"2,6-di-tert-butyl-p-cresol; butylated hydroxytoluene (BHT)",128-37-0,204-881-4,Yes,,"CoRAP list year: 2016
Commission EDC list year*: 2019",REACH
3-methylpyrazole,1453-58-3,215-925-7,,Yes,CoRAP list year: 2018,REACH
"3,3,4,4,5,5,6,6,7,7,8,8,8-tridecafluorooctyl acrylate",17527-29-6,241-527-8,,Yes,CoRAP list year: 2016,REACH
"3,3,4,4,5,5,6,6,7,7,8,8,8-tridecafluorooctyl methacrylate",2144-53-8,218-407-9,,Yes,CoRAP list year: 2016,REACH
4-(4-isopropoxyphenylsulfonyl)phenol (D-8),95235-30-6,405-520-5,,Yes,CoRAP list year: 2025,REACH
4-tert-butylphenol,98-54-4,202-679-0,,Yes,"Environmental candidate list year: 2019

CoRAP list year: 2014",REACH
"4,4'-isopropylidenedi-o-cresol",79-97-0,201-240-0,Yes,Yes,CoRAP list year: 2021,REACH
"6,6'-di-tert-butyl-4,4'-butylidenedi-m-cresol",85-60-9,201-618-5,Yes,,CoRAP list year: 2019,REACH
"6,6'-di-tert-butyl-4,4'-thiodi-m-cresol",96-69-5,202-525-2,Yes,,CoRAP list year: 2015,REACH
Asulam,3337-71-1,222-077-1,Yes,,,Pesticides
Benthiavalicarb,413615-35-7,609-913-4,Yes,,,Pesticides
Benzophenone-1 (BP-1),131-56-6,205-029-4,Yes,,Commission EDC list year*: 2019,"REACH, Cosmetics"
Benzophenone-2,131-55-5,205-028-9,Yes,,Commission EDC list year*: 2019,Cosmetics
Benzophenone-4 (BP-4),4065-45-6,,Yes,,Commission EDC list year*: 2019,"REACH, Cosmetics"
Benzophenone-5 (BP-5),6628-37-1,613-918-7,Yes,,Commission EDC list year*: 2019,Cosmetics
Benzotriazole,95-14-7,202-394-1,,Yes,CoRAP list year: 2016,REACH
Benzyl salicylate,118-58-1,204-262-9,Yes,Yes,Commission EDC list year*: 2019,"REACH, Cosmetics"
Bis(2-propylheptyl) phthalate,53306-54-0,258-469-4,,Yes,CoRAP list year: 2020,REACH
"Bis(dibutyldithiocarbamato-S,S')copper",13927-71-4,237-695-7,Yes,Yes,CoRAP list year: 2020,REACH
"Butanoic acid, 4-amino-4-oxosulfo-, N-coco alkyl derivs., monosodium salts, compds. with triethanolamine",98171-53-0,308-662-5,Yes,Yes,CoRAP list year: 2023,REACH
Butanone,78-93-3,201-159-0,Yes,,CoRAP list year: 2018,REACH
Butyl 4-hydroxybenzoate; Butylparaben,94-26-8,202-318-7,Yes,,"Health candidate list year: 2020




Commission EDC list year*: 2019","REACH, Cosmetics"
Butylphenyl methylpropianol,80-54-6,201-289-8,Yes,,Commission EDC list year*: 2019,Cosmetics
Chlorobenzene,108-90-7,203-628-5,Yes,,CoRAP list year: 2023,REACH
Clofentezine,74115-24-5,277-728-2,Yes,,,Pesticides
Cyanamide,420-04-2,206-992-3,Yes,Yes,,Biocides
Cyclomethicone,"69430-24-6, 556-67-2, 541-02-6, 540-97-6","614-966-1, 209-136-7, 208-764-9, 208-762-8",Yes,,Commission EDC list year*: 2019,Cosmetics
Daidzein,486-66-8,207-635-4,Yes,,Commission EDC list year*: 2019,Cosmetics
Decamethylcyclopentasiloxane (D5),541-02-6,208-764-9,Yes,,Commission EDC list year*: 2019,Cosmetics
Deltamethrin,52918-63-5,258-256-6,Yes,,Commission EDC list year*: 2019,"Biocides, Cosmetics"
Dicyclohexyl phthalate (DCHP),84-61-7,201-545-9,Yes,,"Health candidate list year: 2018



CoRAP list year: 2017",REACH
Dimethomorph,110488-70-5,404-200-2,Yes,Yes,,Pesticides
dioctyltin oxide,870-08-6,212-791-1,Yes,Yes,CoRAP list year: 2024,REACH
Diuron,330-54-1,206-354-4,Yes,Yes,CoRAP list year: 2014,"REACH, Biocides"
EDDHMAFEK,,405-420-1,Yes,,CoRAP list year: 2021,REACH
"Esterification products of 1,3-dioxo-2-benzofuran-5-carboxylic acid with nonan-1-ol",,941-303-6,Yes,Yes,CoRAP list year: 2025,REACH
Genistein,446-72-0,207-174-9,Yes,,Commission EDC list year*: 2019,Cosmetics
