Endocrine disruptor assessment
Note: Group entries are split in different rows.
Export date: 05-mai-2024 16:35:43
Last updated 18-avr.-2024. Database contains 120 unique substances/entries.

"Substance Identifier"	""	
"Status"	""	
"Outcome"	""	
"Authority"	""	
"Date of intention (from)"	""	
"Date of intention (to)"	""	
"Date of hazard assessment (from)"	""	
"Date of hazard assessment (to)"	""	
"Latest update (from)"	""	
"Latest update (to)"	""	



"Substance name"	"DISLIST_ED_description"	"EC / List no"	"CAS no"	"Authority"	"Status"	"Outcome"	"Latest update"	"First published"	
"Terephthalic acid"	""	"202-830-0"	"100-21-0"	"France"	"Concluded"	"not ED"	"11-déc.-2015"	"03-oct.-2018"	
"Tributyl O-acetylcitrate"	""	"201-067-0"	"77-90-7"	"France"	"Concluded"	"not ED"	"19-déc.-2016"	"12-oct.-2018"	
"p-cresol"	""	"203-398-6"	"106-44-5"	"United Kingdom"	"Concluded"	"not ED"	"07-mars-2017"	"12-oct.-2018"	
"Thiram"	""	"205-286-2"	"137-26-8"	"Sweden"	"Concluded"	"not ED"	"24-oct.-2018"	"12-oct.-2018"	
"(1,3,4,5,6,7-hexahydro-1,3-dioxo-2H-isoindol-2-yl)methyl (1R-trans)-2,2-dimethyl-3-(2-methylprop-1-enyl)cyclopropanecarboxylate"	""	"214-619-0"	"1166-46-7"	"Germany"	"Under development"	"Under development (BPR)"	"03-févr.-2021"	"09-mars-2020"	
"1,3,4,6,7,8-hexahydro-4,6,6,7,8,8-hexamethylindeno[5,6-c]pyran"	""	"214-946-9"	"1222-05-5"	"France"	"Under development"	"Under development (other)"	"03-févr.-2021"	"24-oct.-2018"	
"1,7,7-trimethyl-3-(phenylmethylene)bicyclo[2.2.1]heptan-2-one"	""	"239-139-9"	"15087-24-8"	"Germany"	"Concluded"	"ED ENV"	"03-févr.-2021"	"12-oct.-2018"	
"1-(5,6,7,8-tetrahydro-3,5,5,6,8,8-hexamethyl-2-naphthyl)ethan-1-one"	"EC No. 216-133-4 and EC No. 244-240-6"	"-"	"-"	"Germany"	"Under development under SEV"	"Under development (SEV)"	"03-févr.-2021"	"06-nov.-2019"	
"1-(5,6,7,8-tetrahydro-3,5,5,6,8,8-hexamethyl-2-naphthyl)ethan-1-one"	""	"244-240-6"	"21145-77-7"	"Germany"	"Under development under SEV"	"Under development (SEV)"	"03-févr.-2021"	"06-nov.-2019"	
"1-(5,6,7,8-tetrahydro-3,5,5,6,8,8-hexamethyl-2-naphthyl)ethan-1-one"	""	"216-133-4"	"1506-02-1"	"Germany"	"Under development under SEV"	"Under development (SEV)"	"03-févr.-2021"	"06-nov.-2019"	
"2,2',6,6'-tetra-tert-butyl-4,4'-methylenediphenol"	""	"204-279-1"	"118-82-1"	"Austria"	"Under development under SEV"	"Under development (SEV)"	"03-févr.-2021"	"12-oct.-2018"	
"2,2',6,6'-tetrabromo-4,4'-isopropylidenediphenol"	""	"201-236-9"	"79-94-7"	"Denmark"	"Under development under SEV"	"Under development (SEV)"	"03-févr.-2021"	"12-oct.-2018"	
"2,4-di-tert-butylphenol"	""	"202-532-0"	"96-76-4"	"Belgium"	"Under development under SEV"	"Under development (SEV)"	"03-févr.-2021"	"12-oct.-2018"	
"2,6-di-tert-butyl-p-cresol"	""	"204-881-4"	"128-37-0"	"France"	"Under development under SEV"	"Under development (SEV)"	"03-févr.-2021"	"24-oct.-2018"	
"3-iodo-2-propynyl butylcarbamate"	""	"259-627-5"	"55406-53-6"	"Denmark"	"Under development"	"Under development (BPR)"	"03-févr.-2021"	"27-août-2020"	
"3-methylpyrazole"	""	"215-925-7"	"1453-58-3"	"Belgium"	"Under development under SEV"	"Under development (SEV)"	"03-févr.-2021"	"24-oct.-2018"	
"3-phenoxybenzyl-2-(4-ethoxyphenyl)-2-methylpropyl ether"	"ETHOFENPROX; TREBON"	"407-980-2"	"80844-07-1"	"Austria"	"Under development"	"Under development (BPR)"	"03-févr.-2021"	"14-mai-2019"	
"4,4'-isopropylidenediphenol"	""	"201-245-8"	"80-05-7"	"Germany"	"Concluded"	"ED ENV"	"03-févr.-2021"	"12-oct.-2018"	
"4,4'-isopropylidenediphenol"	""	"201-245-8"	"80-05-7"	"France"	"Concluded"	"ED HH"	"03-févr.-2021"	"12-oct.-2018"	
"4,4'-methylenedi-2,6-xylenol"	""	"226-378-9"	"5384-21-4"	"France"	"Under development"	"Under development (other)"	"03-févr.-2021"	"12-oct.-2018"	
"4-heptylphenol, branched and linear"	"substances with a linear and/or branched alkyl chain with a carbon number of 7 covalently bound predominantly in position 4 to phenol, covering also UVCB- and well-defined substances which include any of the individual isomers or a combination thereof"	"-"	"-"	"Austria"	"Concluded"	"ED ENV"	"03-févr.-2021"	"04-oct.-2018"	
"Phenol, heptyl derivs."	""	"276-743-1"	"72624-02-3"	"Austria"	"Concluded"	"ED ENV"	"03-févr.-2021"	"04-oct.-2018"	
"4-heptylphenol"	""	"217-862-0"	"1987-50-4"	"Austria"	"Concluded"	"ED ENV"	"03-févr.-2021"	"04-oct.-2018"	
"4-(2,3,3-trimethylbutan-2-yl)phenol"	""	"-"	"72861-06-4"	"Austria"	"Concluded"	"ED ENV"	"03-févr.-2021"	"04-oct.-2018"	
"4-(2,4-dimethylpentan-2-yl)phenol"	""	"-"	"33104-11-9"	"Austria"	"Concluded"	"ED ENV"	"03-févr.-2021"	"04-oct.-2018"	
"4-(3-ethylpentan-3-yl)phenol"	""	"-"	"37872-24-5"	"Austria"	"Concluded"	"ED ENV"	"03-févr.-2021"	"04-oct.-2018"	
"4-(2-methylhexan-2-yl)phenol"	""	"-"	"30784-31-7"	"Austria"	"Concluded"	"ED ENV"	"03-févr.-2021"	"04-oct.-2018"	
