Nom chimique/DCI,Numéro CAS,Numéro CE
Acétylamino-2 chloro-5 benzoxazole,35783-57-4,
β-Acétoxyéthyl triméthyl ammonium hydroxyde (acétylcholine) et ses sels,51-84-3,200-128-9
Acéglumate de déanol (DCI),3342-61-8,222-085-5
Spironolactone (DCI),52-01-7,200-133-6
"Acide [(hydroxy-4 iodo-3 phénoxy)-4 diiodo-3,5 phényl] acétique (acide 3,3',5 triiodothyroacétique) [tiratricol (DCI)] et ses sels",51-24-1,200-086-1
Méthotrexate (DCI),59-05-2,200-413-8
Acide aminocaproïque (DCI) et ses sels,60-32-2,200-469-3
"Cinchophène (DCI), ses sels, dérivés et les sels de ses dérivés",132-60-5,205-067-1
Acide thyropropique (DCI) et ses sels,51-26-3,
Acide trichloracétique,76-03-9,200-927-2
"Aconitum napellus L. (feuilles, racines et préparations)",84603-50-9,283-252-6
Aconitine (alcaloïde principal d'Aconitum napellus L.) et ses sels,302-27-2,206-121-7
Adonis vernalis L. et ses préparations,84649-73-0,283-458-6
Épinéphrine (DCI),51-43-4,200-098-7
Alcaloïdes des Rauwolfia serpentina L. et leurs sels,90106-13-1,290-234-1
"Alcools acétyléniques, leurs esters, leurs éthers-oxydes et leurs sels",,
Isoprénaline (DCI),7683-59-2,231-687-7
"Allyle, isothiocyanate d'",57-06-7,200-309-2
Alloclamide (DCI) et ses sels,5486-77-1,
Nalorphine (DCI) ses sels et ses éthers-oxydes,62-67-9,200-546-1
Amines sympathicomimétiques à action sur le système nerveux central: toute substance énumérée dans la première liste de médicaments dont la délivrance est soumise à prescription médicale reprise dans la résolution AP (69) 2 du Conseil de l'Europe,300-62-9,206-096-2
"Aminobenzène (aniline), ses sels et ses dérivés halogénés et sulfonés",62-53-3,200-539-3
Bétoxycaïne (DCI) et ses sels,3818-62-0,
Zoxazolamine (DCI),61-80-3,200-519-4
Procaïnamide (DCI) ses sels et ses dérivés,51-06-9,200-078-8
"Aminobiphényle, di-(benzidine)",92-87-5,202-199-1
Tuaminoheptane (DCI) ses isomères et ses sels,123-82-0,204-655-5
Octodrine (DCI) et ses sels,543-82-8,208-851-1
Amino-2 bis- (méthoxy-4 phényl) 1-2 éthanol et ses sels,530-34-7,
Amino-2 méthyl-4 hexane et ses sels,105-41-9,203-296-1
Acide amino-4 salicylique et ses sels,65-49-6,200-613-5
"Aminotoluène et ses isomères, leurs sels, leurs dérivés halogénés et sulfonés",26915-12-8,248-105-2
"Aminoxylènes, leurs isomères, leurs sels et leurs dérivés halogénés et sulfonés",1300-73-8,215-091-4
"9-(3-Méthyl-2-butényloxy)-7H-furo [3,2-g] [1] benzopyrane-7-one (amidine)",482-44-0,207-581-1
Ammi majus L. et ses préparations,90320-46-0,291-072-4
"Amylène chloré (dichloro-2,3 méthyl-2 butane)",507-45-9,
Androgène (substances à effet),,
Anthracène (huile d'),0120-12-7,204-371-1
Antibiotiques,,
Antimoine et ses composés,7440-36-0,231-146-5
Apocynum cannabinum L. et ses préparations,84603-51-0,283-253-1
"5,6,6a,7-Tétrahydro-6-méthyle-4 H-dibenzo [de, g] quinoline-10, 11-diol. (apomorphine) et ses sels",58-00-4,200-360-0
Arsenic et ses composés,7440-38-2,231-148-6
Atropa belladonna L. et ses préparations,8007-93-0,232-365-9
"Atropine, ses sels et ses dérivés",51-55-8,200-104-8
"Baryum (sels de), à l'exception du sulfure de baryum dans les conditions prévues à l'annexe III, et du sulfate de baryum, des laques, pigments ou sels préparés à partir de colorants lorsque ceux-ci figurent dans la liste de l'annexe IV",,
Benzène,71-43-2,200-753-7
Benzimidazolone,615-16-7,210-412-4
"Benzazépine et benzodiazépine, leurs sels et dérivés",12794-10-4,
Benzoate de diméthylamino- méthyl-2-butanol-2 et ses sels (amylocaïne),644-26-8,211-411-1
Benzoyl-triméthyl-oxypipéridine (eucaïne) et ses sels,500-34-5,
Isocarboxazide (DCI),59-63-2,200-438-4
Bendrofluméthiazide (DCI) et ses dérivés,73-48-3,200-800-1
Béryllium et ses dérivés,7440-41-7,231-150-7
Brome métalloïde,7726-95-6,231-778-1
Tosilate de brétylium (DCI),61-75-6,200-516-8
Carbromal (DCI),77-65-6,201-046-6
Bromisoval (DCI),496-67-3,207-825-7
Bromphéniramine (DCI) et ses sels,86-22-6,201-657-8
Bromure de benzilonium (DCI),1050-48-2,213-885-5
Bromure de tétrylammonium (DCI),71-91-0,200-769-4
Brucine,357-57-3,206-614-7
Tétracaïne (DCI) et ses sels,94-24-6,202-316-6
Mofébutazone (DCI),2210-63-1,218-641-1
Tolbutamide (DCI),64-77-7,200-594-3
Carbutamide (DCI),339-43-5,206-424-4
Phénylbutazone (DCI),50-33-9,200-029-0
Cadmium et ses composés,7440-43-9,231-152-8
Cantharis vesicatoria,92457-17-5,296-298-7
Cantharidine,56-25-7,200-263-3
Phenprobamate (DCI),673-31-4,211-606-1
Carbazol (dérivés nitrés du),,
Carbone (sulfure de),75-15-0,200-843-6
Catalase,9001-05-02,232-577-1
Céphéline et ses sels,483-17-0,207-591-6
Chenopodium ambrosioïdes L. (essence),8006-99-3,
Chloral hydraté,302-17-0,206-117-5
Chlore élémentaire,7782-50-5,231-959-5
Chlorpropamide (DCI),94-20-2,202-314-5
"Chlorhydrate-citrate de 2-4-diamino-azobenzène (chrysoïdine, chlorhydrate et/ou citrate)",5909-04-06,
Chlorzoxazone (DCI),95-25-0,202-403-9
Chlorodiméthylamino-méthyl pyrimidine (crimidine),535-89-7,208-622-6
Chlorprothixène (DCI) et ses sels,113-59-7,204-032-8
Clofénamide (DCI),671-95-4,211-588-5
Bis-(chloroéthyl) méthylamine-N oxyde et ses sels (mustine N-oxyde),126-85-2,
Chlorméthine (DCI) et ses sels,51-75-2,200-120-5
Cyclophosphamide (DCI) et ses sels,50-18-0,200-015-4
Mannomustine (DCI) et ses sels,576-68-1,209-404-3
Butanilicaïne (DCI) et ses sels,3785-21-5,
Chlormézanone (DCI),80-77-3,201-307-4
Triparanol (DCI),78-41-1,201-115-0
"[(Chloro-4 phényl)-2 phényl-2-acétyl-2 dioxo- 1,3 indane] (chlorophacinone)",3691-35-8,223-003-0
Chlorphénoxamine (DCI),77-38-3,
Phénaglycodol (DCI),79-93-6,201-235-3
Chlorure d'éthyle,75-00-3,200-830-5
"Sels de chrome, acide chromique et ses sels",7440-47-3,231-157-5
"Claviceps purpurea Tul., ses alcaloïdes et ses préparations",84775-56-4,283-885-8
"Conium maculatum L. (fruit, poudre et préparations)",85116-75-2,285-527-6
Glycyclamide (DCI),664-95-9,211-557-6
Cobalt (benzènesulfonate de),23384-69-2,
"Colchicine, ses sels et ses dérivés",64-86-8,200-598-5
Colchicoside et ses dérivés,477-29-2,207-513-0
Colchicum autumnale L. et ses préparations,84696-03-07,283-623-2
Convallatoxine,508-75-8,208-086-3
Anamirta Cocculus L. (fruits),,
Croton Tiglium L. (huile),8001-28-3,
N-(Crotonoylamino-4 benzènesulfonyl) N'-butylurée,52964-42-8,
Curare et curarines,8063-06-07,232-511-1
Curare et curarines,22260-42-0,244-880-6
Curarisants de synthèse,,
Cyanhydrique (acide) et ses sels,74-90-8,200-821-6
"Féclémine (DCI); 2-(α-cyclohexylbenzyl)-N,N,N′,N′-tétraéthyl-1,3-propanediamine",3590-16-7,
Cycloménol (DCI) et ses sels,5591-47-9,227-002-6
Hexacyclonate de sodium (DCI),7009-49-6,
Hexapropymate (DCI),358-52-1,206-618-9
"0,0'-Diacétyl N-allyl desméthylmorphine",2748-74-5,
Pipazétate (DCI) et ses sels,2167-85-3,218-508-8
"(α, β-Dibromo-phényléthyl)-5 méthyl-5 hydantoïne",511-75-1,208-133-8
"Bis-(triméthylammonio)-1,5 pentane (sels de, dont bromure de pentaméthonium) (DCI)",541-20-8,208-771-7
Bromure d'azaméthonium (DCI),306-53-6,206-186-1
Cyclarbamate (DCI),5779-54-4,227-302-7
Clofénotane (DCI); DDT (ISO),50-29-3,200-024-3
"Bis-(triéthylammonio)-1,6 hexane (sels de, dont bromure d'hexaméthonium) (DCI)",55-97-0,200-249-7
"Dichloroéthanes (chlorures d'éthylène), dont 1,2-dichloroéthane",0107-06-02,203-458-1
"Dichloroéthylènes (chlorures d'acétylène), dont chlorure de vinylidène (1,1-dichloroéthylène)",75-35-4,200-864-0
Lysergide (DCI) (LSD) et ses sels,50-37-3,200-033-2
Diéthylaminoéthyl (phényl-4' hydroxy-3' benzoate)-2 et ses sels,3572-52-9,222-686-2
Cinchocaïne (DCI) et ses sels,85-79-0,201-632-1
Diéthylamino-3 propyl cinnamate,538-66-9,
Diéthylnitro-4 phényl thiophosphate (parathion – ISO),56-38-2,200-271-7
"N,N'-bis (2-diéthylaminoéthyl) oxamido bis (2-chlorobenzyle) [sels de], dont chlorure d'ambénonium (DCI)",115-79-7,204-107-5
Méthyprylone (DCI) et ses sels,125-64-4,204-745-4
Digitaline et tous les hétérosides de la digitale,752-61-4,212-036-6
"(Dihydroxy-2,6 méthyl-4 aza-4 hexyl) -7 théophylline (xanthinol)",2530-97-4,
Dioxéthédrine (DCI) et ses sels,497-75-6,207-849-8
Iodure de piprocurarium (DCI),3562-55-8,222-627-0
Propyphénazone (DCI),479-92-5,207-539-2
Tétrabénazine (DCI) et ses sels,58-46-8,200-383-6
Captodiame (DCI),486-17-9,207-629-1
Méféclorazine (DCI) et ses sels,1243-33-0,
Diméthylamine,124-40-3,204-697-4
(Diméthylamino) -1 [(diméthylamino) -méthyl] butanol-2 benzoate et ses sels,0963-07-05,213-512-6
Méthapyrilène (DCI) et ses sels,91-80-5,202-099-8
Métamfépramone (DCI) et ses sels,15351-09-04,239-384-1
Amitriptyline (DCI) et ses sels,50-48-6,200-041-6
Metformine (DCI) et ses sels,657-24-9,211-517-8
Dinitrate d'isosorbide (DCI),87-33-2,201-740-9
Dinitrile malonique,109-77-3,203-703-2
Dinitrile succinique,110-61-2,203-783-9
Dinitrophénols isomères,51-28-5/329-71-5/573-56-8/25550-58-7,200-087-7/206-348-1/209-357-9/247-096-2
Inproquone (DCI),436-40-8,
Dimévamide (DCI) et ses sels,60-46-8,200-479-8
Diphénylpyraline (DCI) et ses sels,147-20-6,205-686-7
Sulfinpyrazone (DCI),57-96-5,200-357-4
"N-(4-Amino-4-oxo-3, 3-diphényl-butyl)-N, N-diisopropyl-N-méthyl-ammonium [sels de, dont iodure d'isopropamide] (DCI)",71-81-8,200-766-8
Bénactyzine (DCI),302-40-9,206-123-8
Benzatropine (DCI) et ses sels,86-13-5,
Cyclizine (DCI) et ses sels,82-92-8,201-445-5
"Diphényl-5,5 tétrahydroglyoxalinone-4 [doxenitoine (DCI)]",3254-93-1,221-851-6
Probénécide (DCI),57-66-9,200-344-3
Disulfirame (DCI); thirame (DCI),97-77-8/137-26-8,202-607-8 /205-286-2
"Émétine, ses sels et ses dérivés",483-18-1,207-592-1
Éphédrine et ses sels,299-42-3,206-080-5
Oxanamide (DCI) et ses dérivés,126-93-2,
Ésérine ou physostigmine et ses sels,57-47-6,200-332-8
Acide p-aminobenzoïque et ses esters (avec le groupe amino libre),150-13-0,205-753-0
"Esters de la choline et de la méthycholine et leurs sels, dont le chlorure de choline (DCI)",67-48-1,200-655-4
Caramiphène (DCI) et ses sels,77-22-5,201-013-6
Ester diéthylphosphorique du p-nitrophénol (paraoxon - ISO),311-45-5,206-221-0
Météthoheptazine (DCI) et ses sels,509-84-2,
Oxphénéridine (DCI) et ses sels,546-32-7,
Éthoheptazine (DCI) et ses sels,77-15-6,201-007-3
Métheptazine (DCI) et ses sels,469-78-3,
Méthylphénidate (DCI) et ses sels,113-45-1,204-028-6
Doxylamine (DCI) et ses sels,469-21-6,207-414-2
Tolboxane (DCI),2430-46-8,
4-Benzyloxyphénol et 4-éthoxyphénol,103-16-2/622-62-8,203-083-3/210-748-1
Paréthoxycaïne (DCI) et ses sels,94-23-5,205-246-4
Fénozolone (DCI),15302-16-6,239-339-6
Glutéthimide (DCI) et ses sels,77-21-4,201-012-0
"Éthylène, oxyde d'",75-21-8,200-849-9
Bémégride (DCI) et ses sels,64-65-3,200-588-0
Valnoctamide (DCI),4171-13-5,224-033-7
Halopéridol (DCI),52-86-8,200-155-6
Paraméthasone (DCI),53-33-8,200-169-2
Fluanisone (DCI),1480-19-9,216-038-8
Triflupéridol (DCI),749-13-3,
Fluorésone (DCI),2924-67-6,220-889-0
Fluorouracil (DCI),51-21-8,200-085-6
"Fluorhydrique (acide), ses sels, ses composés complexes et les hydrofluorures sauf exceptions reprises dans l'annexe III",7664-39-3,231-634-8
"Furfuryltriméthylammonium [sels de, dont iodure de furtréthonium] (DCI)",541-64-0,208-789-5
Galantamine (DCI),357-70-0,
Gestagène (substances à effet),,
"Hexachloro-1,2,3,4,5,6 cyclohexane (ou HCH)",58-89-9,200-401-2
"Hexachloro-1,2,3,4,10,10 époxy-6,7 octahydro-1,4,4a,5,6,7,8,8a endo-endodiméthylène-1,4,5,8 naphtalène (endrin)",72-20-8,200-775-7
Hexachloroéthane,67-72-1,200-666-4
"Hexachloro-1,2,3,4,10,10 hexahydro-1,4,4a,5,8,8a endo-endodiméthylène-1,4,5,8 naphtalène (isodrin)",465-73-6,207-366-2
"Hydrastine, hydrastinine et leurs sels",118-08-1/6592-85-4,204-233-0/229-533-9
"Hydrazides et leurs sels, dont l'isoniazide (DCI)",54-85-3,200-214-6
"Hydrazine, ses dérivés et leurs sels",0302-01-02,206-114-9
Octamoxine (DCI) et ses sels,4684-87-1,
