Registry of SVHC intentions until outcome
Note: Group entries are split in different rows.
Export date: 15-mai-2024 09:15:19
Last updated 05-mars-2024. Database contains 262 unique substances/entries.

"Substance Identifier"	""	
"Expected date of submission (from)"	""	
"Expected date of submission (to)"	""	
"Withdrawal date (from)"	""	
"Withdrawal date (to)"	""	
"Submitter"	""	
"Status"	""	
"Scope (operator is and)"	"true"	
"Scopes"
"Date of intention (from)"	""	
"Date of intention (to)"	""	
"Date of MSC opinion (from)"	""	
"Date of MSC opinion (to)"	""	
"Date of MSC agreement (from)"	""	
"Date of MSC agreement (to)"	""	
"Date of inclusion in Candidate List (from)"	""	
"Date of inclusion in Candidate List (to)"	""	



"Substance name"	"Description"	"EC / List no"	"CAS no"	"Further substance information"	"CLP Annex VI index number"	"Status"	"Date of intention"	"Expected date of submission"	"Submitted for accordance check"	"Withdrawal date"	"Submitter"	"Remarks"	"Scope"	"Start of consultation"	"End of consultation"	"Consultation document"	"RCOM (Comments received)"	"Year of MSC agreement"	"MSC Agreement"	"Date of MSC agreement"	"Support documents"	"MSC Opinion"	"Date of MSC opinion"	"Minority position"	"Date of inclusion in Candidate List"	"Latest update"	"First published"	
"Hexamethyldisiloxane"	""	"203-492-7"	"107-46-0"	""	""	"Intention"	"21-nov.-2022"	"03-févr.-2025"	""	""	"Norway"	""	"PBT (Article 57d)"	""	""	""	""	""	""	""	""	""	""	""	""	"13-mars-2023"	"13-mars-2023"	
"Dodecamethylpentasiloxane"	""	"205-492-2"	"141-63-9"	""	""	"Intention"	"21-nov.-2022"	"03-févr.-2025"	""	""	"Norway"	""	"vPvB (Article 57e)"	""	""	""	""	""	""	""	""	""	""	""	""	"13-mars-2023"	"13-mars-2023"	
"Decamethyltetrasiloxane"	""	"205-491-7"	"141-62-8"	""	""	"Intention"	"28-nov.-2022"	"03-févr.-2025"	""	""	"Norway"	""	"vPvB (Article 57e)"	""	""	""	""	""	""	""	""	""	""	""	""	"13-mars-2023"	"13-mars-2023"	
"1,1,1,3,5,5,5-heptamethyltrisiloxane"	""	"217-496-1"	"1873-88-7"	""	""	"Intention"	"21-nov.-2022"	"03-févr.-2025"	""	""	"Norway"	""	"vPvB (Article 57e)"	""	""	""	""	""	""	""	""	""	""	""	""	"13-mars-2023"	"13-mars-2023"	
"1,1,1,3,5,5,5-heptamethyl-3-[(trimethylsilyl)oxy]trisiloxane"	""	"241-867-7"	"17928-28-8"	""	""	"Intention"	"21-nov.-2022"	"03-févr.-2025"	""	""	"Norway"	""	"vPvB (Article 57e)"	""	""	""	""	""	""	""	""	""	""	""	""	"13-mars-2023"	"13-mars-2023"	
"Octamethyltrisiloxane"	""	"203-497-4"	"107-51-7"	""	""	"Intention"	"21-nov.-2022"	"01-août-2024"	""	""	"Norway"	""	"vPvB (Article 57e)"	""	""	""	""	""	""	""	""	""	""	""	""	"22-sept.-2023"	"13-mars-2023"	
"Triphenyl phosphate"	""	"204-112-2"	"115-86-6"	""	""	"Identification ongoing"	"14-avr.-2023"	"01-févr.-2024"	""	""	"France"	""	"Endocrine disrupting properties (Article 57(f) - environment)"	"01-mars-2024"	"15-avr.-2024"	""	""	""	""	""	""	""	""	""	""	"01-mars-2024"	"28-avr.-2023"	
"Bis(α,α-dimethylbenzyl) peroxide"	""	"201-279-3"	"80-43-3"	""	"617-006-00-X"	"Identification ongoing"	"02-oct.-2023"	"01-févr.-2024"	""	""	"Norway"	""	"Toxic for reproduction (Article 57c)"	"01-mars-2024"	"15-avr.-2024"	""	""	""	""	""	""	""	""	""	""	"01-mars-2024"	"10-oct.-2023"	
"Oligomerisation and alkylation reaction products of 2-phenylpropene and phenol"	""	"700-960-7"	"-"	""	""	"Identified SVHC"	"16-juin-2023"	"03-août-2023"	""	""	"Denmark"	"The name phenol, methylstyrenated and EC number 270-966-8 and CAS number 68512-30-1 have been historically used to identify the substance “Oligomerisation and alkylation reaction products of 2-phenylpropene and phenol”. These identifiers are reported in the candidate list as additional information."	"vPvB (Article 57e)"	"01-sept.-2023"	"16-oct.-2023"	"https://echa.europa.eu/documents/10162/2a10bfcd-e164-a627-e651-7457b2b13e75""https://echa.europa.eu/documents/10162/6f480491-6dbd-5335-23ea-4730acbd214a""https://echa.europa.eu/documents/10162/2242ebf0-64c8-4f4b-4fde-fe845ca08b8e"	"https://echa.europa.eu/documents/10162/49b41344-e171-214f-0b1f-0b857bed6cea"	"2023"	"https://echa.europa.eu/documents/10162/3e1c160b-66f2-701a-c546-a89bc3d51671"	"29-nov.-2023"	"https://echa.europa.eu/documents/10162/065ff5be-32a7-5f22-488f-3d5b9e0307e2""https://echa.europa.eu/documents/10162/3aea3ded-79fd-5d8e-ea46-354ecd9c6aed""https://echa.europa.eu/documents/10162/b54f82a2-1eb5-b826-9318-8ea89018a3a3"	""	""	""	"23-janv.-2024"	"01-mars-2024"	"05-juil.-2023"	
"Phenol, methylstyrenated"	""	"270-966-8"	"68512-30-1"	""	""	"Identified SVHC"	"16-juin-2023"	"03-août-2023"	""	""	"Denmark"	"The name phenol, methylstyrenated and EC number 270-966-8 and CAS number 68512-30-1 have been historically used to identify the substance “Oligomerisation and alkylation reaction products of 2-phenylpropene and phenol”. These identifiers are reported in the candidate list as additional information."	"vPvB (Article 57e)"	"01-sept.-2023"	"16-oct.-2023"	"https://echa.europa.eu/documents/10162/2a10bfcd-e164-a627-e651-7457b2b13e75""https://echa.europa.eu/documents/10162/6f480491-6dbd-5335-23ea-4730acbd214a""https://echa.europa.eu/documents/10162/2242ebf0-64c8-4f4b-4fde-fe845ca08b8e"	"https://echa.europa.eu/documents/10162/49b41344-e171-214f-0b1f-0b857bed6cea"	"2023"	"https://echa.europa.eu/documents/10162/3e1c160b-66f2-701a-c546-a89bc3d51671"	"29-nov.-2023"	"https://echa.europa.eu/documents/10162/065ff5be-32a7-5f22-488f-3d5b9e0307e2""https://echa.europa.eu/documents/10162/3aea3ded-79fd-5d8e-ea46-354ecd9c6aed""https://echa.europa.eu/documents/10162/b54f82a2-1eb5-b826-9318-8ea89018a3a3"	""	""	""	"23-janv.-2024"	"01-mars-2024"	"05-juil.-2023"	
