Nom chimique/DCI,Dénomination commune du glossaire des ingrédients,Numéro CAS,Numéro CE,"Type de produit, parties du corps",Concentration maximale dans les préparations prêtes à l'emploi,Autres,
Acide thioglycolique et ses sels,Thioglycolic acid,68-11-1,200-677-4,a) Produits pour le frisage ou le défrisage des cheveux,"a) i) 8 %
 ii) 11 %","a) i) Usage général
 prêt à l'emploi pH 7 à 9,5
 ii) Usage professionnel
 prêt à l'emploi pH 7 à 9,5","Conditions d'utilisation: 
 a) b) c) d) 
 Éviter le contact avec les yeux. 
 En cas de contact avec les yeux, rincer immédiatement. 
 a) c) d) 
 Porter des gants appropriés. 
 Avertissements devant figurer sur l'étiquetage: 
 a)i) b) c)   ►C2   
 Contient des sels de l'acide thioglycolique.  ◄  
 Suivre le mode d'emploi. 
 Conserver hors de portée des enfants. 
 a)ii) d) 
 Réservé aux professionnels. 
 Contient des sels de l'acide thioglycolique. 
 Suivre le mode d'emploi"
,,,,b) Dépilatoires,b) 5 %,"b) Prêt à l'emploi pH 7 à 12,7",
,,,,c) Autres produits capillaires à rincer,c) 2 %,"c) Prêt à l'emploi pH 7 à 9,5",
,,,,d) Produits destinés à permanenter les cils,"d) 11 %
 Les pourcentages ci-dessus sont calculés en acide thioglycolique","d) Pour usage professionnel
 prêt à l'emploi pH 7 à 9,5",
Esters de l'acide thioglycolique,,,,Produits pour le frisage ou le défrisage des cheveux:,a) 8 %,"Usage général
 prêt à l'emploi pH 6 à 9,5","Conditions d'utilisation:
 a) b)
 Peut entraîner une sensibilisation par contact avec la peau
 Éviter le contact avec les yeux
 En cas de contact avec les yeux, laver immédiatement et abondamment avec de l'eau et consulter un spécialiste
 Porter des gants appropriés
 Avertissements:
 Contient des esters de l'acide thioglycolique
 Suivre le mode d'emploi
 Conserver hors de portée des enfants"
,,,,,"b) 11 %
 Les pourcentages ci-dessus sont calculés en acide thioglycolique","Usage professionnel
 prêt à l'emploi pH 6 à 9,5",b) Réservé aux professionnels
"Acide oxalique, ses esters et sels alcalins",Oxalic acid,144-62-7,205-634-3,Produits pour les cheveux et la pilosité faciale,5 %,Usage professionnel,Réservé aux professionnels
Ammoniaque,Ammonia,7664-41-7/1336-21-6,231-635-3/215-647-6,,6 % (en NH3),,Au-delà de 2 %: contient de l'ammoniaque
Tosylchloramide sodique (DCI),Chloramine-T,127-65-1,204-854-7,,"0,2 %",,
Chlorates de métaux alcalins,Sodium chlorate,7775-09-09,231-887-4,"a) Dentifrices
 b) Autres produits","a) 5 %
 b) 3 %",,
,Potassium chlorate,3811-04-09,223-289-7,,,,
"dérivés de paraphénylènediamine substitués à l’azote et leurs sels; dérivés de l’orthophénylènediamine substitués à l’azote (1), à l’exception des dérivés figurant ailleurs dans la présente annexe et sous les numéros d’ordre 1309, 1311, et 1312 à l’annexe II",,,,Colorants d’oxydation pour la coloration des cheveux,,a) Usage général,"a) Doit figurer sur l’étiquetage:
 le ratio de mélange.
 «Les colorants capillaires peuvent provoquer des réactions allergiques sévères.
 Lire et suivre les instructions.
 Ce produit n’est pas destiné à être utilisé sur les personnes de moins de 16 ans.
 Les tatouages temporaires noirs à base de henné peuvent augmenter le risque d’allergie.
 Ne vous colorez pas les cheveux si:
  — vous présentez une éruption cutanée sur le visage ou si votre cuir chevelu est sensible, irrité ou abîmé,
 
  — vous avez déjà fait une réaction après avoir coloré vos cheveux,
 
  — vous avez fait par le passé une réaction à un tatouage temporaire noir à base de henné.
 
 Contient des diaminobenzènes.
 Ne pas employer pour la coloration des cils et des sourcils.»"
,,,,,,"b) Usage professionnel
 a) et b):Après mélange en conditions d’oxydation, la teneur maximale appliquée sur les cheveux ne doit pas dépasser 3 % calculés en base libre.","b) Doit figurer sur l’étiquetage:
 le ratio de mélange.
 «Réservé aux professionnels
  Les colorants capillaires peuvent provoquer des réactions allergiques sévères.
 Lire et suivre les instructions.
 Ce produit n’est pas destiné à être utilisé sur les personnes de moins de 16 ans.
 Les tatouages temporaires noirs à base de henné peuvent augmenter le risque d’allergie.
 Ne vous colorez pas les cheveux si:
  — vous présentez une éruption cutanée sur le visage ou si votre cuir chevelu est sensible, irrité ou abîmé,
 
  — vous avez déjà fait une réaction après avoir coloré vos cheveux,
 
  — vous avez fait par le passé une réaction à un tatouage temporaire noir à base de henné.
 
 Contient des diaminobenzènes.
 Porter des gants appropriés»"
